_id,id,PID,activity,comments,start_period,end_period,mon,tue,wed,thur,fri,sat,sun,visible
66166ec496fb1df606179f47,440,5071,Collaborating with cross-functional teams,hac habitasse platea dictumst morbi vestibulum velit id pretium,24-04-2023,19-06-2024,11,11,12,3,12,6,7,FALSE
66166ec496fb1df606179f48,252,5120,Developing a new software,sapien urna pretium nisl ut volutpat sapien arcu sed,26-04-2023,20-06-2024,9,5,11,4,4,5,9,FALSE
66166ec496fb1df606179f49,384,1480,Conducting a network security audit,,03-05-2023,23-06-2024,11,12,3,7,9,12,10,TRUE
66166ec496fb1df606179f4a,138,7397,Optimizing database performance,risus praesent lectus vestibulum quam sapien varius ut blandit,09-05-2023,24-06-2024,6,11,8,11,8,9,12,FALSE
66166ec496fb1df606179f4b,327,5370,Automating repetitive tasks,leo maecenas pulvinar lobortis est phasellus sit,11-05-2023,25-06-2024,5,4,6,11,12,6,3,TRUE
66166ec496fb1df606179f4c,212,4290,Developing a new software,pulvinar lobortis est phasellus sit,11-05-2023,26-06-2024,11,9,3,5,8,4,9,FALSE
66166ec496fb1df606179f4d,202,4370,Deploying a cloud-based solution,cubilia curae nulla dapibus dolor vel est donec odio justo,13-05-2023,26-06-2024,12,9,12,6,9,4,12,FALSE
66166ec596fb1df606179f4e,126,1950,Setting up a project management tool,risus dapibus augue vel accumsan,22-05-2023,28-06-2024,11,12,8,10,10,4,10,TRUE
66166ec596fb1df606179f4f,315,2041,Documenting software requirements,elit sodales scelerisque mauris sit,23-05-2023,28-06-2024,11,5,9,10,8,3,9,FALSE
66166ec596fb1df606179f50,437,1402,Conducting a network security audit,,25-05-2023,29-06-2024,10,12,4,5,12,12,11,TRUE
66166ec596fb1df606179f51,172,5430,Integrating third-party APIs,augue luctus tincidunt nulla mollis molestie lorem quisque ut erat,31-05-2023,02-07-2024,3,5,11,3,3,10,11,FALSE
66166ec596fb1df606179f52,395,1062,Integrating third-party APIs,,01-06-2023,04-07-2024,11,9,11,10,3,7,8,TRUE
66166ec596fb1df606179f53,267,4650,Implementing a cybersecurity solution,,04-06-2023,06-07-2024,12,10,11,4,6,6,3,TRUE
66166ec596fb1df606179f54,298,2960,Analyzing data,,04-06-2023,07-07-2024,7,10,11,7,8,7,10,FALSE
66166ec596fb1df606179f55,451,5630,technical support,vestibulum proin eu mi nulla,05-06-2023,13-07-2024,8,5,10,4,3,4,9,TRUE
66166ec596fb1df606179f56,77,6150,Troubleshooting network connectivity issues,,07-06-2023,16-07-2024,10,6,4,7,12,7,11,FALSE
66166ec596fb1df606179f57,428,4970,Documenting software requirements,vestibulum quam sapien varius ut,12-06-2023,18-07-2024,9,3,3,5,11,6,8,TRUE
66166ec596fb1df606179f58,130,1640,Training employees on a new software system,donec diam neque vestibulum eget,13-06-2023,20-07-2024,11,7,9,9,10,3,8,FALSE
66166ec596fb1df606179f59,368,2160,Setting up a project management tool,,18-06-2023,22-07-2024,3,4,12,7,4,8,4,FALSE
66166ec596fb1df606179f5a,178,2390,Implementing a cybersecurity solution,,18-06-2023,22-07-2024,6,11,3,4,11,7,11,FALSE
66166ec596fb1df606179f5b,481,1420,Optimizing database performance,eleifend luctus ultricies eu nibh quisque id justo sit amet,22-06-2023,25-07-2024,9,3,9,12,9,4,4,FALSE
